,GeoName,Description,LineCode,Year,Value
0,Alabama,Per capita personal consumption expenditures,1,1997,17020
1,Alaska,Per capita personal consumption expenditures,1,1997,22512
2,Arizona,Per capita personal consumption expenditures,1,1997,19416
3,Arkansas,Per capita personal consumption expenditures,1,1997,15785
4,California,Per capita personal consumption expenditures,1,1997,21212
5,Colorado,Per capita personal consumption expenditures,1,1997,22266
6,Connecticut,Per capita personal consumption expenditures,1,1997,25439
7,Delaware,Per capita personal consumption expenditures,1,1997,21592
8,District of Columbia,Per capita personal consumption expenditures,1,1997,31919
9,Florida,Per capita personal consumption expenditures,1,1997,20705
10,Georgia,Per capita personal consumption expenditures,1,1997,18899
11,Hawaii,Per capita personal consumption expenditures,1,1997,21366
12,Idaho,Per capita personal consumption expenditures,1,1997,17192
13,Illinois,Per capita personal consumption expenditures,1,1997,21327
14,Indiana,Per capita personal consumption expenditures,1,1997,18675
15,Iowa,Per capita personal consumption expenditures,1,1997,18569
16,Kansas,Per capita personal consumption expenditures,1,1997,18081
17,Kentucky,Per capita personal consumption expenditures,1,1997,17067
18,Louisiana,Per capita personal consumption expenditures,1,1997,16758
19,Maine,Per capita personal consumption expenditures,1,1997,20391
20,Maryland,Per capita personal consumption expenditures,1,1997,21740
21,Massachusetts,Per capita personal consumption expenditures,1,1997,25529
22,Michigan,Per capita personal consumption expenditures,1,1997,20566
23,Minnesota,Per capita personal consumption expenditures,1,1997,22678
24,Mississippi,Per capita personal consumption expenditures,1,1997,14504
25,Missouri,Per capita personal consumption expenditures,1,1997,20142
26,Montana,Per capita personal consumption expenditures,1,1997,17600
27,Nebraska,Per capita personal consumption expenditures,1,1997,19121
28,Nevada,Per capita personal consumption expenditures,1,1997,20376
29,New Hampshire,Per capita personal consumption expenditures,1,1997,23515
30,New Jersey,Per capita personal consumption expenditures,1,1997,24306
31,New Mexico,Per capita personal consumption expenditures,1,1997,17350
32,New York,Per capita personal consumption expenditures,1,1997,22269
33,North Carolina,Per capita personal consumption expenditures,1,1997,18168
34,North Dakota,Per capita personal consumption expenditures,1,1997,18600
35,Ohio,Per capita personal consumption expenditures,1,1997,19492
36,Oklahoma,Per capita personal consumption expenditures,1,1997,16206
37,Oregon,Per capita personal consumption expenditures,1,1997,20890
38,Pennsylvania,Per capita personal consumption expenditures,1,1997,20455
39,Rhode Island,Per capita personal consumption expenditures,1,1997,20096
40,South Carolina,Per capita personal consumption expenditures,1,1997,17334
41,South Dakota,Per capita personal consumption expenditures,1,1997,18168
42,Tennessee,Per capita personal consumption expenditures,1,1997,18598
43,Texas,Per capita personal consumption expenditures,1,1997,19327
44,Utah,Per capita personal consumption expenditures,1,1997,18017
45,Vermont,Per capita personal consumption expenditures,1,1997,21394
46,Virginia,Per capita personal consumption expenditures,1,1997,20031
47,Washington,Per capita personal consumption expenditures,1,1997,21085
48,West Virginia,Per capita personal consumption expenditures,1,1997,15814
49,Wisconsin,Per capita personal consumption expenditures,1,1997,19801
50,Wyoming,Per capita personal consumption expenditures,1,1997,18559
51,Alabama,Per capita personal consumption expenditures,1,1998,17696
52,Alaska,Per capita personal consumption expenditures,1,1998,23350
53,Arizona,Per capita personal consumption expenditures,1,1998,20274
54,Arkansas,Per capita personal consumption expenditures,1,1998,16547
55,California,Per capita personal consumption expenditures,1,1998,22150
56,Colorado,Per capita personal consumption expenditures,1,1998,23506
57,Connecticut,Per capita personal consumption expenditures,1,1998,26943
58,Delaware,Per capita personal consumption expenditures,1,1998,22722
59,District of Columbia,Per capita personal consumption expenditures,1,1998,32455
60,Florida,Per capita personal consumption expenditures,1,1998,21701
61,Georgia,Per capita personal consumption expenditures,1,1998,19645
62,Hawaii,Per capita personal consumption expenditures,1,1998,21790
63,Idaho,Per capita personal consumption expenditures,1,1998,17825
64,Illinois,Per capita personal consumption expenditures,1,1998,22370
65,Indiana,Per capita personal consumption expenditures,1,1998,19564
66,Iowa,Per capita personal consumption expenditures,1,1998,19530
67,Kansas,Per capita personal consumption expenditures,1,1998,19128
68,Kentucky,Per capita personal consumption expenditures,1,1998,17925
69,Louisiana,Per capita personal consumption expenditures,1,1998,17606
70,Maine,Per capita personal consumption expenditures,1,1998,21792
71,Maryland,Per capita personal consumption expenditures,1,1998,22787
72,Massachusetts,Per capita personal consumption expenditures,1,1998,26962
73,Michigan,Per capita personal consumption expenditures,1,1998,21517
74,Minnesota,Per capita personal consumption expenditures,1,1998,23765
75,Mississippi,Per capita personal consumption expenditures,1,1998,15242
76,Missouri,Per capita personal consumption expenditures,1,1998,21115
77,Montana,Per capita personal consumption expenditures,1,1998,18529
78,Nebraska,Per capita personal consumption expenditures,1,1998,20007
79,Nevada,Per capita personal consumption expenditures,1,1998,21015
80,New Hampshire,Per capita personal consumption expenditures,1,1998,24804
81,New Jersey,Per capita personal consumption expenditures,1,1998,25582
82,New Mexico,Per capita personal consumption expenditures,1,1998,18097
83,New York,Per capita personal consumption expenditures,1,1998,23450
84,North Carolina,Per capita personal consumption expenditures,1,1998,18744
85,North Dakota,Per capita personal consumption expenditures,1,1998,19473
86,Ohio,Per capita personal consumption expenditures,1,1998,20525
87,Oklahoma,Per capita personal consumption expenditures,1,1998,16957
88,Oregon,Per capita personal consumption expenditures,1,1998,21801
89,Pennsylvania,Per capita personal consumption expenditures,1,1998,21552
90,Rhode Island,Per capita personal consumption expenditures,1,1998,20942
91,South Carolina,Per capita personal consumption expenditures,1,1998,18143
92,South Dakota,Per capita personal consumption expenditures,1,1998,19032
93,Tennessee,Per capita personal consumption expenditures,1,1998,19393
94,Texas,Per capita personal consumption expenditures,1,1998,20253
95,Utah,Per capita personal consumption expenditures,1,1998,18795
96,Vermont,Per capita personal consumption expenditures,1,1998,22495
97,Virginia,Per capita personal consumption expenditures,1,1998,21306
98,Washington,Per capita personal consumption expenditures,1,1998,22925
99,West Virginia,Per capita personal consumption expenditures,1,1998,16588
100,Wisconsin,Per capita personal consumption expenditures,1,1998,20833
101,Wyoming,Per capita personal consumption expenditures,1,1998,19754
102,Alabama,Per capita personal consumption expenditures,1,1999,18638
103,Alaska,Per capita personal consumption expenditures,1,1999,24671
104,Arizona,Per capita personal consumption expenditures,1,1999,21392
105,Arkansas,Per capita personal consumption expenditures,1,1999,17556
106,California,Per capita personal consumption expenditures,1,1999,23411
107,Colorado,Per capita personal consumption expenditures,1,1999,25122
