"SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/"
"(Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"93000","Great Lakes","1","Per capita personal consumption expenditures",20159,21157,22330,23736,24544,25318,26342,27630,28963,30128,31230,31891,31364,32273,33512,34363,35036,36265,37439,38625,40045
"93000","Great Lakes","2","  Goods",7365,7622,8144,8599,8695,8872,9124,9526,9811,10101,10409,10349,9796,10206,10810,11082,11269,11532,11638,11822,12267
"93000","Great Lakes","3","    Durable goods",2687,2858,3094,3206,3241,3361,3375,3492,3516,3488,3553,3305,3087,3193,3328,3444,3550,3684,3852,3965,4129
"93000","Great Lakes","4","      Motor vehicles and parts",1144,1206,1307,1300,1350,1382,1331,1308,1253,1148,1146,1019,976,1049,1112,1175,1220,1302,1380,1404,1441
"93000","Great Lakes","5","      Furnishings and durable household equipment",598,633,681,736,735,762,776,816,834,831,823,764,692,702,721,743,764,782,828,873,915
"93000","Great Lakes","6","      Recreational goods and vehicles",612,663,722,764,764,811,838,911,950,990,1030,980,891,893,913,930,959,976,999,1033,1086
"93000","Great Lakes","7","      Other durable goods",333,356,384,406,392,406,431,456,479,519,555,542,527,549,582,596,608,625,644,655,687
"93000","Great Lakes","8","    Nondurable goods",4679,4763,5050,5393,5453,5512,5749,6034,6296,6613,6856,7045,6709,7013,7483,7638,7719,7848,7786,7857,8138
"93000","Great Lakes","9","      Food and beverages purchased for off-premises consumption",1733,1748,1801,1875,1929,1958,2018,2104,2166,2239,2326,2396,2396,2418,2509,2571,2589,2649,2701,2756,2816
"93000","Great Lakes","10","      Clothing and footwear",869,901,934,953,933,917,927,936,952,964,950,930,894,925,953,980,984,993,1007,1024,1030
"93000","Great Lakes","11","      Gasoline and other energy goods",528,472,529,661,622,584,683,781,925,1039,1141,1264,918,1091,1346,1363,1350,1294,1002,891,999
"93000","Great Lakes","12","      Other nondurable goods",1549,1642,1787,1905,1969,2053,2121,2213,2252,2371,2438,2454,2502,2580,2674,2724,2796,2912,3077,3187,3293
"93000","Great Lakes","13","  Services",12793,13535,14186,15137,15850,16445,17218,18104,19152,20027,20821,21542,21568,22066,22701,23281,23767,24734,25801,26803,27778
"93000","Great Lakes","14","    Household consumption expenditures (for services)",12171,12798,13404,14269,14898,15429,16166,17051,18060,18827,19627,20184,20191,20656,21217,21682,22134,23055,24102,25002,25923
"93000","Great Lakes","15","    Housing and utilities",3444,3578,3759,3988,4253,4384,4573,4767,5127,5353,5539,5733,5748,5746,5824,5842,5938,6165,6312,6490,6705
"93000","Great Lakes","16","    Health care",2859,2970,3074,3260,3521,3786,4011,4296,4571,4799,5073,5274,5526,5723,5895,6112,6198,6419,6783,7095,7349
"93000","Great Lakes","17","    Transportation services",899,933,995,1058,1038,996,1011,1041,1063,1072,1085,1093,1030,1051,1129,1150,1195,1278,1331,1393,1436
"93000","Great Lakes","18","    Recreation services",870,903,945,982,996,1023,1066,1126,1172,1216,1287,1322,1312,1350,1354,1405,1454,1501,1577,1639,1723
"93000","Great Lakes","19","    Food services and accommodations",1187,1245,1279,1349,1384,1430,1493,1574,1647,1716,1785,1811,1787,1841,1928,2018,2068,2151,2311,2400,2444
"93000","Great Lakes","20","    Financial services and insurance",1292,1415,1551,1730,1670,1709,1797,1952,2110,2189,2279,2305,2146,2256,2369,2426,2539,2712,2905,2994,3172
"93000","Great Lakes","21","    Other services",1620,1754,1800,1901,2036,2101,2216,2294,2371,2483,2579,2644,2641,2689,2718,2729,2743,2829,2884,2990,3094
"93000","Great Lakes","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",622,737,782,868,951,1016,1051,1053,1092,1200,1194,1358,1377,1410,1485,1599,1633,1679,1698,1801,1855
"93000","Great Lakes","23","  Gross output of nonprofit institutions",2258,2432,2526,2690,2874,3071,3170,3310,3481,3677,3759,3990,4135,4269,4416,4615,4718,4858,5034,5303,5510
"93000","Great Lakes","24","  Less: Receipts from sales of goods and services by nonprofit institutions",1635,1695,1744,1822,1923,2055,2119,2257,2390,2477,2565,2632,2758,2859,2931,3016,3085,3179,3335,3502,3655
"Legend / Footnotes:"
"1/ Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2017 available as of December 2017. Per capita values are computed from unrounded data."
"Last updated: October 4, 2018; new PCE by state statistics for 2017, and revised statistics for 1997-2016."
