"SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/"
"(Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"91000","New England","1","Per capita personal consumption expenditures",24269,25647,27132,28948,30170,31151,32636,34626,36736,38551,40012,40995,40281,41158,42404,43354,44362,45993,47504,48862,50536
"91000","New England","2","  Goods",8310,8618,9269,9884,10145,10398,10830,11584,12250,12522,12816,12839,12142,12570,13071,13280,13602,14049,14166,14385,14929
"91000","New England","3","    Durable goods",2795,3005,3273,3515,3621,3778,3927,4170,4346,4316,4350,4099,3822,3976,4069,4167,4296,4453,4616,4736,4910
"91000","New England","4","      Motor vehicles and parts",1040,1127,1219,1265,1339,1410,1470,1482,1461,1361,1355,1181,1142,1214,1256,1306,1369,1444,1526,1537,1575
"91000","New England","5","      Furnishings and durable household equipment",587,634,699,777,818,867,897,993,1039,1047,1032,976,862,872,881,898,933,961,991,1034,1066
"91000","New England","6","      Recreational goods and vehicles",756,810,884,976,981,1009,1030,1115,1225,1255,1271,1253,1153,1192,1215,1225,1244,1276,1308,1357,1424
"91000","New England","7","      Other durable goods",411,434,470,497,484,492,530,580,621,653,693,688,665,698,717,738,751,772,792,808,845
"91000","New England","8","    Nondurable goods",5515,5612,5996,6370,6524,6620,6903,7414,7904,8206,8466,8740,8320,8594,9002,9113,9306,9596,9550,9649,10019
"91000","New England","9","      Food and beverages purchased for off-premises consumption",1988,2030,2149,2217,2316,2373,2390,2543,2636,2742,2869,2961,2971,3004,3120,3209,3264,3381,3451,3534,3634
"91000","New England","10","      Clothing and footwear",1102,1122,1160,1194,1173,1149,1175,1231,1271,1255,1238,1214,1150,1174,1174,1205,1210,1222,1240,1261,1263
"91000","New England","11","      Gasoline and other energy goods",641,560,591,737,725,678,823,960,1152,1272,1345,1528,1139,1280,1500,1441,1433,1402,1072,917,1008
"91000","New England","12","      Other nondurable goods",1784,1901,2097,2221,2310,2419,2516,2680,2844,2936,3013,3037,3060,3136,3209,3258,3399,3592,3787,3937,4115
"91000","New England","13","  Services",15959,17029,17863,19063,20025,20753,21805,23042,24487,26029,27195,28156,28139,28588,29333,30074,30760,31944,33338,34477,35606
"91000","New England","14","    Household consumption expenditures (for services)",15371,16302,17076,18208,19059,19691,20691,21895,23258,24625,25822,26648,26600,27053,27716,28314,28936,30066,31446,32496,33570
"91000","New England","15","    Housing and utilities",4636,4846,5085,5348,5720,5867,6128,6425,6928,7340,7642,7908,7949,7886,8014,8114,8263,8593,8998,9229,9505
"91000","New England","16","    Health care",3593,3800,3859,4081,4362,4699,4967,5307,5577,5951,6323,6628,6930,7087,7239,7388,7469,7662,7973,8277,8514
"91000","New England","17","    Transportation services",827,873,955,1016,1029,996,1042,1090,1133,1173,1195,1202,1169,1199,1276,1304,1386,1470,1537,1587,1625
"91000","New England","18","    Recreation services",853,925,995,1070,1106,1129,1204,1293,1363,1450,1570,1603,1578,1630,1645,1714,1780,1834,1946,2053,2154
"91000","New England","19","    Food services and accommodations",1395,1463,1539,1651,1687,1749,1846,1968,2057,2159,2247,2298,2270,2347,2441,2542,2632,2765,2943,3085,3159
"91000","New England","20","    Financial services and insurance",1983,2127,2309,2544,2448,2433,2517,2687,2931,3087,3262,3332,3055,3190,3335,3407,3536,3689,3860,3814,3961
"91000","New England","21","    Other services",2083,2269,2334,2499,2708,2817,2987,3125,3268,3465,3583,3676,3648,3713,3766,3844,3869,4052,4189,4450,4652
"91000","New England","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",588,727,787,855,966,1062,1114,1147,1229,1404,1374,1508,1539,1535,1617,1760,1824,1878,1892,1981,2036
"91000","New England","23","  Gross output of nonprofit institutions",2404,2603,2722,2859,3108,3381,3575,3803,4072,4400,4502,4724,4898,5023,5193,5452,5592,5806,5906,6144,6373
"91000","New England","24","  Less: Receipts from sales of goods and services by nonprofit institutions",1816,1876,1935,2005,2142,2318,2461,2656,2844,2996,3129,3216,3359,3488,3575,3692,3768,3928,4014,4163,4337
"Legend / Footnotes:"
"1/ Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2017 available as of December 2017. Per capita values are computed from unrounded data."
"Last updated: October 4, 2018; new PCE by state statistics for 2017, and revised statistics for 1997-2016."
