"SAEXP2 Per capita personal consumption expenditures (PCE) by state 1/"
"(Dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"95000","Southeast","1","Per capita personal consumption expenditures",18464,19326,20390,21659,22340,22962,23949,25272,26715,28129,29088,29488,28906,29684,30724,31523,32110,33236,34245,35185,36317
"95000","Southeast","2","  Goods",7266,7550,8104,8531,8648,8760,9103,9645,10202,10699,10925,10752,10107,10485,11001,11298,11508,11811,11883,11997,12335
"95000","Southeast","3","    Durable goods",2632,2818,3036,3143,3187,3293,3391,3581,3743,3838,3859,3467,3147,3246,3354,3494,3632,3779,3964,4067,4204
"95000","Southeast","4","      Motor vehicles and parts",1162,1250,1340,1363,1398,1447,1434,1458,1468,1423,1416,1168,1059,1154,1206,1297,1361,1426,1532,1558,1579
"95000","Southeast","5","      Furnishings and durable household equipment",620,660,711,747,760,789,816,879,940,985,957,865,771,769,780,803,836,868,904,941,980
"95000","Southeast","6","      Recreational goods and vehicles",574,614,668,701,706,724,785,861,931,990,1014,972,871,861,881,896,926,954,982,1017,1077
"95000","Southeast","7","      Other durable goods",276,293,316,333,323,333,356,384,403,441,473,462,447,462,487,497,509,530,547,550,567
"95000","Southeast","8","    Nondurable goods",4633,4732,5068,5388,5462,5467,5711,6064,6460,6861,7066,7285,6959,7239,7648,7804,7876,8032,7919,7930,8131
"95000","Southeast","9","      Food and beverages purchased for off-premises consumption",1768,1808,1890,1958,1998,1989,2039,2131,2236,2316,2400,2488,2502,2525,2600,2667,2706,2787,2839,2893,2933
"95000","Southeast","10","      Clothing and footwear",829,852,891,901,890,879,889,915,937,971,972,942,902,929,957,979,987,1003,1019,1029,1037
"95000","Southeast","11","      Gasoline and other energy goods",563,505,557,692,654,608,698,817,991,1129,1186,1320,959,1125,1365,1385,1349,1272,951,831,915
"95000","Southeast","12","      Other nondurable goods",1474,1566,1730,1836,1919,1991,2086,2201,2295,2444,2508,2536,2597,2659,2725,2773,2833,2971,3110,3177,3246
"95000","Southeast","13","  Services",11199,11777,12286,13128,13691,14202,14846,15627,16513,17430,18163,18736,18800,19199,19723,20225,20602,21425,22362,23188,23983
"95000","Southeast","14","    Household consumption expenditures (for services)",11038,11601,12080,12884,13412,13890,14541,15332,16245,17103,17816,18306,18393,18805,19306,19768,20133,20936,21889,22685,23476
"95000","Southeast","15","    Housing and utilities",3192,3337,3460,3656,3870,3979,4123,4288,4567,4800,4958,5120,5248,5322,5419,5502,5622,5856,6088,6332,6536
"95000","Southeast","16","    Health care",2795,2882,2941,3104,3347,3600,3787,4024,4232,4418,4595,4752,4949,5043,5156,5328,5390,5586,5918,6141,6360
"95000","Southeast","17","    Transportation services",533,562,593,633,613,584,611,630,652,673,685,685,641,655,699,715,744,785,822,855,884
"95000","Southeast","18","    Recreation services",625,648,682,721,735,745,785,840,882,937,990,1019,1009,1034,1035,1075,1100,1137,1196,1238,1290
"95000","Southeast","19","    Food services and accommodations",1279,1318,1366,1439,1458,1503,1592,1703,1812,1909,1978,2004,1972,2035,2125,2221,2283,2393,2530,2617,2641
"95000","Southeast","20","    Financial services and insurance",1195,1303,1430,1598,1534,1556,1624,1757,1919,2055,2208,2287,2173,2285,2399,2442,2504,2595,2720,2772,2940
"95000","Southeast","21","    Other services",1419,1551,1606,1732,1856,1923,2018,2089,2181,2310,2402,2438,2402,2431,2473,2486,2490,2582,2615,2729,2825
"95000","Southeast","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)",160,176,206,244,279,312,305,295,268,327,347,430,407,394,416,457,469,490,473,503,507
"95000","Southeast","23","  Gross output of nonprofit institutions",1310,1421,1494,1590,1710,1847,1917,2015,2116,2274,2390,2504,2554,2605,2664,2746,2803,2889,2993,3131,3229
"95000","Southeast","24","  Less: Receipts from sales of goods and services by nonprofit institutions",1149,1245,1288,1345,1431,1535,1612,1719,1848,1947,2043,2074,2148,2211,2247,2289,2334,2399,2520,2627,2722
"Legend / Footnotes:"
"1/ Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates for years 2010-2017 available as of December 2017. Per capita values are computed from unrounded data."
"Last updated: October 4, 2018; new PCE by state statistics for 2017, and revised statistics for 1997-2016."
