STATE,OCC_TITLE,A_MEDIAN,YEAR,CPI,A_MEDIAN_ADJ
California,aerospace engineers,111460.0,2011,113.4,96524.36
California,agricultural engineers,75100.0,2011,113.4,65036.59999999999
California,biomedical engineers,96620.0,2011,113.4,83672.92
California,chemical engineers,95750.0,2011,113.4,82919.5
California,civil engineers,92780.0,2011,113.4,80347.48
California,computer hardware engineers,111660.0,2011,113.4,96697.56
California,electrical engineers,100890.0,2011,113.4,87370.73999999999
California,electronics engineers except computer,104850.0,2011,113.4,90800.1
California,environmental engineers,85060.0,2011,113.4,73661.95999999999
California,health and safety engineers except mining safety engineers and inspectors,92120.0,2011,113.4,79775.92
California,industrial engineers,91580.0,2011,113.4,79308.28
California,marine engineers and naval architects,57010.0,2011,113.4,49370.66
California,materials engineers,97310.0,2011,113.4,84270.45999999999
California,mechanical engineers,89810.0,2011,113.4,77775.45999999999
California,mining and geological engineers including mining safety engineers,107270.0,2011,113.4,92895.82
California,nuclear engineers,116200.0,2011,113.4,100629.2
California,petroleum engineers,109270.0,2011,113.4,94627.82
California,engineers all other,99640.0,2011,113.4,86288.23999999999
California,architectural and civil drafters,53530.0,2011,113.4,46356.98
California,electrical and electronics drafters,55060.0,2011,113.4,47681.96
California,mechanical drafters,53880.0,2011,113.4,46660.08
California,drafters all other,53660.0,2011,113.4,46469.56
California,aerospace engineering and operations technicians,63360.0,2011,113.4,54869.76
California,civil engineering technicians,60900.0,2011,113.4,52739.4
California,electrical and electronics engineering technicians,60720.0,2011,113.4,52583.52
California,electro-mechanical technicians,51940.0,2011,113.4,44980.03999999999
California,environmental engineering technicians,60740.0,2011,113.4,52600.84
California,industrial engineering technicians,51120.0,2011,113.4,44269.92
California,mechanical engineering technicians,55440.0,2011,113.4,48011.03999999999
California,engineering technicians except drafters all other,63460.0,2011,113.4,54956.35999999999
California,surveying and mapping technicians,58920.0,2011,113.4,51024.72
California,life physical and social science occupations,69570.0,2011,113.4,60247.62
California,animal scientists,83130.0,2011,113.4,71990.57999999999
California,food scientists and technologists,60460.0,2011,113.4,52358.35999999999
California,soil and plant scientists,68690.0,2011,113.4,59485.53999999999
California,biochemists and biophysicists,80470.0,2011,113.4,69687.01999999999
