STATE,OCC_TITLE,median_delta,cpi_delta,adj_delta,num_years
Alabama,all occupations,17.75495,-3.670749,21.28439,10
Alabama,management occupations,30.08141,-3.670749,33.9803,10
Alabama,chief executives,38.8007,-3.670749,42.96095,7
Alabama,general and operations managers,36.17499,-3.670749,40.25654,10
Alabama,legislators,34.78577,-3.670749,38.82566,10
Alabama,advertising and promotions managers,46.84562,-3.448274,50.98023,9
Alabama,marketing managers,38.38454,-3.670749,42.53231,10
Alabama,sales managers,27.01791,-3.670749,30.82499,10
Alabama,public relations managers,9.947563,-2.669635,12.34423,3
Alabama,administrative services managers,37.83826,-3.670749,41.96965,10
Alabama,computer and information systems managers,18.52009,-3.670749,22.07247,10
Alabama,financial managers,39.21354,-3.670749,43.38615,10
Alabama,compensation and benefits managers,53.1481,-3.670749,57.73836,10
Alabama,training and development managers,58.53217,-3.670749,63.28381,10
Alabama,human resources managers all other,5.930088,-2.669635,8.239188,3
Alabama,industrial production managers,30.5163,-3.670749,34.42824,10
Alabama,purchasing managers,29.79871,-3.670749,33.68913,10
Alabama,transportation storage and distribution managers,26.54304,-3.670749,30.33587,10
Alabama,construction managers,32.87583,-3.670749,36.85848,10
Alabama,education administrators preschool and child care center/program,2.564802,-2.669635,4.800551,3
Alabama,education administrators elementary and secondary school,13.12328,-3.670749,16.5139,10
Alabama,education administrators postsecondary,11.14213,-3.670749,14.47337,10
Alabama,education administrators all other,38.75319,-3.670749,42.91201,10
Alabama,engineering managers,11.85329,-2.669635,14.29151,3
Alabama,food service managers,51.86023,-3.670749,56.41189,10
Alabama,funeral directors,4.314248,-2.669635,6.588126,3
Alabama,lodging managers,21.8835,-3.670749,25.53669,10
Alabama,medical and health services managers,23.18478,-3.670749,26.87697,10
Alabama,natural sciences managers,7.001795,-3.670749,10.20894,10
Alabama,postmasters and mail superintendents,24.02761,-3.670749,27.74506,10
Alabama,property real estate and community association managers,28.5904,-3.670749,32.44461,10
Alabama,social and community service managers,38.90405,-3.670749,43.06739,10
Alabama,managers all other,18.07287,-3.670749,21.61184,10
Alabama,business and financial operations occupations,20.24353,-3.670749,23.84756,10
Alabama,agents and business managers of artists performers and athletes,25.89969,-3.003342,28.98715,7
Alabama,purchasing agents and buyers farm products,-6.04357,-2.669635,-3.995476,3
Alabama,wholesale and retail buyers except farm products,31.53474,-3.670749,35.47721,10
Alabama,purchasing agents except wholesale retail and farm products,18.87519,-3.670749,22.4382,10
Alabama,claims adjusters examiners and investigators,11.44106,-3.670749,14.78126,10
Alabama,insurance appraisers auto damage,51.16179,-3.670749,55.69253,10
Alabama,compliance officers except agriculture construction health and safety and transportation,7.893048,-2.669635,10.24494,3
Alabama,cost estimators,22.47191,-3.670749,26.14274,10
Alabama,emergency management specialists,4.540024,-2.669635,6.818822,3
Alabama,employment recruitment and placement specialists,3.828769,-2.669635,6.092068,3
Alabama,compensation benefits and job analysis specialists,28.40535,-3.670749,32.25401,10
Alabama,training and development specialists,29.14597,-3.670749,33.01683,10
